stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,station_color,color_code,interchange
1,,Dilshad Garden,,28.675991,77.321495,Red,#FF0000,FALSE
2,,Jhilmil,,28.675648,77.312393,Red,#FF0000,FALSE
3,,Mansrover park,,28.675352,77.301178,Red,#FF0000,FALSE
4,,Shahdara,,28.673531,77.28727,Red,#FF0000,FALSE
5,,Welcome,,28.671986,77.277931,Black,#000000,TRUE
6,,Seelam Pur,,28.670324,77.267311,Red,#FF0000,FALSE
7,,Shastri Park,,28.668451,77.250404,Red,#FF0000,FALSE
8,,Kashmere Gate,,28.667879,77.228012,Black,#000000,TRUE
9,,Tis Hazari,,28.667137,77.216721,Red,#FF0000,FALSE
10,,Pul Bangash,,28.66571,77.206329,Red,#FF0000,FALSE
11,,Pratap Nagar,,28.666632,77.196869,Red,#FF0000,FALSE
12,,Shastri Nagar,,28.670135,77.181679,Red,#FF0000,FALSE
13,,Inderlok,,28.673452,77.170235,Black,#000000,TRUE
14,,Kanhaiya Nagar,,28.682386,77.162552,Red,#FF0000,FALSE
15,,Keshav Puram,,28.688944,77.161774,Red,#FF0000,FALSE
16,,Netaji Subash Place,,28.695637,77.152428,Black,#000000,TRUE
17,,Kohat Enclave,,28.697943,77.140465,Red,#FF0000,FALSE
18,,Pitampura,,28.70318,77.132355,Red,#FF0000,FALSE
19,,Rohini East,,28.707941,77.125732,Red,#FF0000,FALSE
20,,Rohini West,,28.715008,77.115746,Red,#FF0000,FALSE
21,,Rithala,,28.720821,77.105042,Red,#FF0000,FALSE
22,,Mundka,,28.682411,77.028282,Green,#008000,FALSE
23,,Rajdhani Park,,28.682217,77.043869,Green,#008000,FALSE
24,,Nangloi Railway Station,,28.682091,77.05619,Green,#008000,FALSE
25,,Nangloi,,28.682356,77.064728,Green,#008000,FALSE
26,,Maharaja Surajmal Stadium,,28.681833,77.073891,Green,#008000,FALSE
27,,Udyog Nagar,,28.681047,77.078674,Green,#008000,FALSE
28,,Peera Garhi,,28.67972,77.092491,Green,#008000,FALSE
29,"",Paschim Vihar (West),,28.678539,77.102119,Green,#008000,FALSE
30,"",Paschim Vihar (East),,28.677305,77.112251,Green,#008000,FALSE
31,,Madipur,,28.676418,77.117294,Green,#008000,FALSE
32,,Shivaji Park,,28.674965,77.128258,Green,#008000,FALSE
33,,Punjabi Bagh,,28.672943,77.146011,Green,#008000,FALSE
34,,Ashok Park Main,,28.671572,77.155159,Green,#008000,FALSE
35,,Satguru Ram Singh Marg,,28.662188,77.157829,Green,#008000,FALSE
36,,Samaypur Badli,,28.742872,77.146545,Yellow,#FFFF00,FALSE
37,"",Rohini Sector 18-19,,28.740192,77.135574,Yellow,#FFFF00,FALSE
38,,Haiderpur Badli Mor,,28.718657,77.149956,Yellow,#FFFF00,FALSE
39,,Jahangirpuri,,28.72818,77.16124,Yellow,#FFFF00,FALSE
40,,Adarsh Nagar,,28.696377,77.208809,Yellow,#FFFF00,FALSE
41,,Azadpur,,28.707287,77.179863,Black,#000000,TRUE
42,,Model Town,,28.702833,77.193764,Yellow,#FFFF00,FALSE
43,,Guru Tegh Bahadur Nagar,,28.698195,77.206985,Yellow,#FFFF00,FALSE
44,,Vishwavidyalaya,,28.694765,77.212418,Yellow,#FFFF00,FALSE
45,,Vidhan Sabha,,28.687845,77.221626,Yellow,#FFFF00,FALSE
46,,Civil Lines,,28.676945,77.224953,Yellow,#FFFF00,FALSE
47,,Chandni Chowk,,28.656443,77.229218,Yellow,#FFFF00,FALSE
48,,Chawri Bazar,,28.649635,77.22628,Yellow,#FFFF00,FALSE
49,,New Delhi,,28.642944,77.222351,Black,#000000,TRUE
50,,Rajiv Chowk,,28.632896,77.219574,Black,#000000,TRUE
51,,Patel Chowk,,28.622967,77.212288,Yellow,#FFFF00,FALSE
52,,Central Secretariat,,28.614973,77.212029,Black,#000000,TRUE
53,,Udyog Bhawan,,28.611525,77.210052,Yellow,#FFFF00,FALSE
54,,Lok Kalyan Marg,,28.597519,77.209122,Yellow,#FFFF00,FALSE
55,,Jorbagh,,28.587234,77.212662,Yellow,#FFFF00,FALSE
56,"",Dilli Haat - INA,,28.575195,77.209473,Black,#000000,TRUE
57,,AIIMS,,28.568199,77.207947,Yellow,#FFFF00,FALSE
58,,Green Park,,28.559853,77.206902,Yellow,#FFFF00,FALSE
59,,Hauz Khas,,28.543346,77.206673,Black,#000000,TRUE
60,,Malviya Nagar,,28.52817,77.205612,Yellow,#FFFF00,FALSE
61,,Saket,,28.520638,77.199379,Yellow,#FFFF00,FALSE
62,,Qutab Minar,,28.512714,77.185791,Yellow,#FFFF00,FALSE
63,,Chhattarpur,,28.506584,77.174866,Yellow,#FFFF00,FALSE
64,,Sultanpur,,28.499214,77.161362,Yellow,#FFFF00,FALSE
65,,Ghitorni,,28.49383,77.149071,Yellow,#FFFF00,FALSE
66,,Arjan Garh,,28.48082,77.12587,Yellow,#FFFF00,FALSE
67,,Gurudronacharya,,28.482075,77.102219,Yellow,#FFFF00,FALSE
68,,Sikanderpur,,28.481352,77.092995,Black,#000000,TRUE
69,,MG Road,,28.47967,77.080444,Yellow,#FFFF00,FALSE
70,,IFFCO Chowk,,28.472137,77.072502,Yellow,#FFFF00,FALSE
71,"",Huda City Centre,,28.459118,77.072586,Yellow,#FFFF00,FALSE // Note: Name changed to Millennium City Centre Gurugram in source list, marking as non-interchange based on source list name.
72,,Vaishali,,28.650059,77.337608,Blue,#0000FF,FALSE
